Date,"(7 day moving average) Case increases(per 100,000)"
315,44.68076616
314,44.14471934
313,43.75432296
312,43.62995478
311,42.62503325
310,42.349029
309,42.66759777
308,43.15908486
307,42.42019154
306,41.72585794
305,38.97512636
304,43.56211758
303,36.47512636
302,35.30194201
301,35.01064113
300,34.80313913
299,34.29968077
298,35.70497473
297,30.40835329
296,36.31550944
295,36.05014632
294,35.50678372
293,34.45331205
292,36.74514499
291,34.23782921
290,32.86046821
289,30.61386007
288,29.24514499
287,27.24793828
286,26.79236499
285,24.66347433
284,24.64684757
283,23.57608406
282,23.98576749
281,23.09656824
280,23.27680234
279,23.75831338
278,22.5518755
277,21.15722267
276,21.31218409
275,19.97605746
274,19.75857941
273,19.54110136
272,18.72106943
271,17.08699122
270,18.48230912
269,17.3084597
268,18.20630487
267,16.94333599
266,16.49773876
265,15.40369779
264,15.48749667
263,15.21282256
262,15.04455972
261,13.59803139
260,14.06491088
259,13.4670125
258,13.35262038
257,15.30792764
256,12.66892791
255,12.32841181
254,12.30180899
253,12.12623038
252,11.82295823
251,11.74780527
250,9.334929503
249,11.16586858
248,11.00425645
247,10.54203246
246,10.10042565
245,10.77081671
244,10.31989891
243,10.36046821
242,10.34583666
241,10.47818569
240,10.42897047
239,10.90383081
238,10.37509976
237,11.00226124
236,11.43455706
235,11.95264698
234,12.19739292
233,12.72678904
232,12.52327747
231,12.74208566
230,12.77334397
229,12.70550678
228,12.47805267
227,12.76203778
226,12.27254589
225,12.08499601
224,11.45583932
223,11.51835595
222,11.59683426
221,11.87948923
220,11.57555201
219,12.20736898
218,12.40955041
217,16.19380154
216,16.23636605
215,16.25897845
214,15.95238095
213,16.34144719
212,16.16985901
211,16.58685821
210,13.37988827
209,13.6113328
208,13.91527002
207,14.66546954
206,15.25339186
205,16.10933759
204,16.86951317
203,17.61572227
202,17.89837723
201,18.39252461
200,19.74328279
199,21.99188614
198,23.12982176
197,25.80007981
196,27.11359404
195,28.11186486
194,29.70271349
193,31.06743815
192,30.764166
191,31.65935089
190,29.88294759
189,29.61359404
188,30.05520085
187,30.6650705
186,31.4358872
185,32.33971801
184,33.84410748
183,36.43522213
182,38.94985368
181,41.60348497
180,43.05998936
179,44.75126363
178,47.02580474
177,47.21002926
176,47.43881351
175,47.52194733
174,48.58672519
173,50.67438148
172,49.42936951
171,48.66719872
170,51.09271083
169,51.31085395
168,51.25764831
167,52.45610535
166,54.2943602
165,54.36153232
164,54.41207768
163,51.17384943
162,51.14392126
161,49.89092844
160,45.92045757
159,42.40023943
158,43.10255387
157,41.82162809
156,42.18874701
155,39.92617717
154,39.0802075
153,38.49893589
152,37.5
151,36.30553339
150,35.96634743
149,33.00611865
148,32.29183293
147,30.8093908
146,29.07222666
145,26.58685821
144,22.90768821
143,19.24913541
142,17.72146848
141,15.69699388
140,14.96076084
139,14.30167598
138,12.64964086
137,11.63474328
136,10.51808992
135,9.836392658
134,9.048284118
133,8.028731045
132,7.542564512
131,7.049747273
130,6.23038042
129,5.821362064
128,5.552673583
127,5.530726257
126,5.16094706
125,4.942138867
124,4.594972067
123,4.267757382
122,4.402101623
121,3.969140729
120,3.480978984
119,3.415137005
118,3.601356744
117,3.385208832
116,3.372572493
115,3.042697526
114,3.425778132
113,3.425778132
112,3.498270817
111,3.281457835
110,3.674514499
109,3.506251663
108,3.546820963
107,3.282122905
106,3.497605746
105,3.493615323
104,3.313381218
103,3.010774142
102,3.200319234
101,2.906358074
100,2.795291301
99,2.650305932
98,2.629023677
97,2.885075818
96,2.852487364
95,2.811252993
94,3.232242618
93,3.158419792
92,3.000133014
91,3.115855281
90,2.950252727
89,3.058659218
88,3.079276403
87,3.236898111
86,3.358606012
85,3.701782389
84,3.700452248
83,3.829475924
82,3.793562118
81,4.025671721
80,4.015695664
79,4.148709763
78,3.97113594
77,4.088188348
76,4.152035116
75,4.366852886
74,4.370178239
73,4.259776536
72,4.35887204
71,4.634211226
70,4.791832934
69,4.761239691
68,4.817105613
67,4.945464219
66,5.101755786
65,5.092444799
64,5.024607608
63,4.820430966
62,4.895583932
61,4.600957702
60,4.187283852
59,3.699787177
58,3.343974461
57,2.930965682
56,2.481378026
55,2.096967279
54,1.763101889
53,1.419260442
52,1.113993083
51,0.849295025
50,0.702314445
49,0.603218941
48,0.425645118
47,0.317238627
46,0.236100027
45,0.188880021
44,0.127028465
43,0.087124235
42,0.072492684
41,0.052540569
40,0.028598031
39,0.015296621
38,0.012636339
37,0.011306198
36,0.010641128
35,0.008645916
34,0.007980846
33,0.005320564
32,0.005320564
31,0.004655493
30,0.001995211
29,0.001330141
28,0
27,0
26,0
25,0
24,0
23,0
22,0
21,0
20,0
19,0
18,0
17,0
16,0
15,0
14,0
13,0
12,0
11,0
10,0
9,0
8,0
7,0
6,0
5,0
4,0
3,0
2,0
1,0
