Date,"(7 day moving average) Case increases(per 100,000)"
282,52.20345207
281,50.9239809
280,50.56261476
279,50.29232464
278,50.78883584
277,50.5515975
276,49.35659199
275,47.85089974
274,47.49614396
273,45.30811605
272,41.8575101
271,39.58428204
270,37.43811972
269,35.44913698
268,33.68343739
267,33.01285347
266,32.03525523
265,31.96841719
264,29.97943445
263,28.78736687
262,28.07418289
261,28.22622108
260,26.45170768
259,25.17150202
258,24.74256335
257,24.69335292
256,24.31656261
255,23.96841719
254,23.14359163
253,22.88946015
252,22.72713918
251,21.40433346
250,19.79434447
249,18.47227323
248,16.49357326
247,15.28608153
246,14.17627617
245,13.3147264
244,12.18508997
243,11.48439221
242,11.11861917
241,11.04884319
240,10.80646346
239,10.48182152
238,10.02423797
237,10.03305178
236,9.579140654
235,8.939405068
234,8.935732648
233,8.355490268
232,8.213734851
231,8.035989717
230,7.832537642
229,7.883951524
228,7.760558208
227,7.177377892
226,7.318398825
225,7.34116783
224,7.159750275
223,6.912229159
222,6.827763496
221,7.10392949
220,7.197943445
219,7.197943445
218,7.127432978
217,7.185457216
216,7.394050679
215,7.398457584
214,7.065001836
213,6.800587587
212,6.650752846
211,6.578038928
210,6.316562615
209,5.783327213
208,5.276533235
207,4.962908557
206,4.716856408
205,4.397355858
204,4.205655527
203,4.202717591
202,4.188762394
201,4.102093279
200,4.058758722
199,4.04921043
198,4.058024238
197,4.065369078
196,3.964744767
195,3.864120455
194,3.930224018
193,3.828130738
192,3.772309952
191,3.618802791
190,3.572530297
189,3.575468234
188,3.540213
187,3.528461256
186,3.625413147
185,3.722365039
184,3.867058391
183,3.966948219
182,3.944179214
181,3.822254866
180,3.654792508
179,3.582813074
178,3.478516342
177,3.386705839
176,3.204553801
175,3.112008814
174,3.125229526
173,3.17884686
172,3.039294895
171,3.087036357
170,3.106132942
169,3.106132942
168,3.131839882
167,3.191333089
166,3.204553801
165,3.304443628
164,3.355123026
163,3.363936834
162,3.413881748
161,3.346309218
160,3.323540213
159,3.313991921
158,3.289019464
157,3.242012486
156,3.300036724
155,3.350716122
154,3.362467866
153,3.399192068
152,3.347778186
151,3.402130004
150,3.460154242
149,3.304443628
148,3.350716122
147,3.354388542
146,3.35218509
145,3.432243849
144,3.457216306
143,3.449871465
142,3.685640837
141,3.620271759
140,3.595299302
139,3.598237238
138,3.615130371
137,3.584282042
136,3.676827029
135,3.718692618
134,3.746603011
133,3.875137716
132,3.857510099
131,3.864854939
130,3.728975395
129,3.626882115
128,3.388909291
127,3.360264414
126,3.254498715
125,3.251560779
124,3.34851267
123,3.562247521
122,3.513037091
121,3.466030114
120,3.372750643
119,3.433712817
118,3.416819684
117,3.333822989
116,3.241278002
115,3.208960705
114,3.262578039
113,3.380829967
112,3.4160852
111,3.425633492
110,3.419023136
109,3.322805729
108,3.312522953
107,3.337495409
106,3.387440323
105,3.409474844
104,3.556371649
103,3.575468234
102,3.662137349
101,3.740727139
100,3.778920308
99,3.839147999
98,3.903048109
97,4.044069041
96,4.2298935
95,4.459052516
94,4.731546089
93,5.206022769
92,5.381564451
91,5.623209695
90,5.820051414
89,6.16966581
88,6.698494308
87,6.760190966
86,6.571428571
85,6.797649651
84,7.149467499
83,7.440323173
82,7.546823357
81,7.781858245
80,8.072713918
79,8.367976497
78,8.368710981
77,8.589056188
76,9.064267352
75,9.847227323
74,10.0690415
73,10.5471906
72,10.5148733
71,10.81601175
70,11.09805362
69,11.31546089
68,11.44473008
67,12.25339699
66,12.70143224
65,13.29562982
64,13.94050679
63,14.79618068
62,16.22695556
61,16.96437752
60,17.83841351
59,19.15975028
58,19.79948586
57,20.83731179
56,22.64708043
55,26.97319133
54,30.04921043
53,31.19720896
52,31.88835843
51,32.67278737
50,33.24201249
49,33.35365406
48,30.81013588
47,30.24311421
46,31.90378259
45,36.34373852
44,38.54645611
43,39.72970988
42,41.33235402
41,43.4300404
40,45.7928755
39,47.3470437
38,46.52589056
37,47.25817113
36,48.96290856
35,49.0297466
34,49.68710981
33,49.61880279
32,48.18508997
31,46.32243849
30,47.14799853
29,45.91847227
28,45.08703636
27,42.76606684
26,40.48696291
25,38.85567389
24,36.81968417
23,33.50863019
22,32.57069409
21,30.82041866
20,27.56885788
19,24.31582813
18,20.87917738
17,17.84135145
16,14.64047007
15,10.66470804
14,7.226588322
13,4.957032685
12,2.865222181
11,1.607051047
10,0.898273963
9,0.627249357
8,0.431876607
7,0.353286816
6,0.24091076
5,0.182152038
4,0.142489901
3,0.110172604
2,0.064634594
1,0.044069041
