Date,"(7 day moving average) Case increases(per 100,000)"
277,77.17968158
276,76.4720748
275,72.53330445
274,73.9304668
273,77.27715802
272,74.55864833
271,76.55150005
270,74.52976642
269,75.60200729
268,70.11444456
267,76.92696487
266,71.14336258
265,64.98068522
264,68.13242355
263,71.73905195
262,76.59121268
261,82.67446478
260,73.30950576
259,72.21199321
258,82.73583884
257,80.15451821
256,75.87638543
255,72.93404094
254,74.80053432
253,71.85457959
252,70.93757897
251,68.92306581
250,65.89046536
249,66.43561139
248,64.51496444
247,66.6233438
246,56.3449944
245,53.49651612
244,52.57229503
243,49.21116286
242,47.87176432
241,43.85356872
240,32.45243511
239,37.02660746
238,34.94711
237,31.12025705
236,29.30430701
235,28.14542041
234,26.62550995
233,25.54965883
232,27.57861295
231,27.83493989
230,29.95414997
229,31.99032456
228,33.66908553
227,34.06982202
226,33.14921116
225,30.86031987
224,31.21773349
223,29.74836637
222,29.08047222
221,28.48117261
220,28.56420809
219,28.45590094
218,29.67616159
217,29.863894
216,29.83140186
215,29.41261417
214,29.6111773
213,29.1346258
212,28.42340879
211,27.1814867
210,25.97566699
209,25.82403697
208,25.73017076
207,24.50629987
206,28.18513304
205,26.13090725
204,25.41246976
203,25.72295029
202,25.40885953
201,25.80237554
200,26.30419871
199,24.19942958
198,27.82049893
197,28.71222788
196,28.61475144
195,28.43784974
194,28.00823134
193,27.74468392
192,26.90710856
191,25.79515506
190,25.00090256
189,23.8925593
188,22.94306654
187,22.6037041
186,21.67226254
185,20.74804145
184,19.75522582
183,20.22455684
182,20.48088379
181,20.97909672
180,20.41228925
179,19.8093794
178,20.17040326
177,21.06213221
176,20.86717932
175,19.77327701
174,19.06206
173,18.87071735
172,18.81295354
171,17.52770858
170,17.16307448
169,16.29661721
168,17.62157479
167,17.7443229
166,17.49521643
165,17.36885808
164,17.41218095
163,17.3327557
162,17.50604715
161,16.48434962
160,16.33632983
159,16.59987725
158,17.14141305
157,17.24249973
156,17.03310589
155,16.75872775
154,16.97534207
153,17.45189357
152,19.00790642
151,19.35448933
150,19.28228456
149,19.31116647
148,20.82385646
147,20.43756092
146,21.44842774
145,20.53503737
144,21.35817178
143,25.05505614
142,27.61832557
141,26.61106899
140,28.05516445
139,26.4341673
138,26.89266761
137,26.18506083
136,21.73363659
135,18.14144915
134,17.96454746
133,16.34716055
132,16.202751
131,16.56377487
130,16.92479873
129,18.15950034
128,19.05122929
127,18.22448464
126,17.85263006
125,17.76237409
124,16.31105816
123,15.82367594
122,15.54929781
121,14.92472652
120,14.53843099
119,14.28571429
118,13.65031229
117,12.5022564
116,11.51666125
115,10.77295209
114,10.84154663
113,9.827069569
112,9.354128308
111,9.393840933
110,9.85234124
109,8.805372035
108,8.769269649
107,9.404671649
106,9.520199285
105,9.364959024
104,9.408281887
103,8.603198671
102,8.361312683
101,8.245785046
100,7.090508683
99,6.707823387
98,6.238492364
97,5.140979819
96,4.628325932
95,4.375609228
94,3.902667966
93,3.862955341
92,3.397234557
91,2.59576158
90,2.43691108
89,2.422470125
88,2.281670818
87,2.324993682
86,2.111989603
85,2.054225784
84,2.299722012
83,2.079497455
82,2.003682443
81,1.743745262
80,1.693201921
79,1.653489296
78,1.765406693
77,2.130040796
76,2.51633633
75,2.339434637
74,2.498285137
73,2.624643489
72,2.610202534
71,2.75461208
70,2.592151341
69,2.454962273
68,2.732950648
67,2.83403733
66,2.602982057
65,2.696848262
64,2.389977978
63,2.281670818
62,2.350265353
61,2.184194375
60,2.054225784
59,2.227517239
58,2.306942489
57,2.440521318
56,2.570489909
55,2.628253728
54,2.588541103
53,2.758222318
52,2.59576158
51,2.375537023
50,2.263619625
49,2.169753421
48,2.090328171
47,2.176973898
46,2.166143182
45,2.361096068
44,2.249178671
43,2.368316546
42,2.3827575
41,2.27806058
40,2.249178671
39,2.205855807
38,2.270840103
37,2.534387523
36,2.422470125
35,2.429690603
34,2.667966353
33,2.570489909
32,2.678797068
31,2.592151341
30,2.559659193
29,2.909852341
28,2.906242103
27,2.906242103
26,3.274486444
25,3.054261887
24,2.971226398
23,2.823206614
22,2.404418932
21,2.27806058
20,2.003682443
19,1.657099534
18,1.444095455
17,1.306906387
16,1.169717318
15,0.985595148
14,0.736488682
13,0.487382216
12,0.321311239
11,0.256326943
10,0.209393841
9,0.176901693
8,0.166070977
7,0.148019784
6,0.097476443
5,0.05415358
4,0.032492148
3,0.028881909
2,0.010830716
1,0.007220477
