Date,"Case increase (per 100,000)"
2020-12-14,0.33278
2020-12-13,0.30334
2020-12-12,0.35729
2020-12-11,0.35468
2020-12-10,0.29677
2020-12-09,0.30851
2020-12-08,0.23272
2020-12-07,0.24735
2020-12-06,0.30075
2020-12-05,0.25068
2020-12-04,0.22018
2020-12-03,0.18591
2020-12-02,0.20759
2020-12-01,0.12221
2020-11-30,0.14034
2020-11-29,0.15614
2020-11-28,0.11996
2020-11-27,0.12635
2020-11-26,0.1464
2020-11-25,0.1835
2020-11-24,0.15329
2020-11-23,0.08337
2020-11-22,0.14319
2020-11-21,0.15442
2020-11-20,0.13005
2020-11-19,0.11478
2020-11-18,0.09811
2020-11-17,0.08743
2020-11-16,0.0989
2020-11-15,0.10968
2020-11-14,0.09875
2020-11-13,0.06893
2020-11-12,0.06927
2020-11-11,0.07464
2020-11-10,0.05367
2020-11-09,0.07212
2020-11-08,0.07682
2020-11-07,0.05863
2020-11-06,0.06518
2020-11-05,0.04566
2020-11-04,0.05338
2020-11-03,0.04044
2020-11-02,0.04094
2020-11-01,0.04529
2020-10-31,0.05087
2020-10-30,0.04014
2020-10-29,0.04191
2020-10-28,0.04515
2020-10-27,0.03188
2020-10-26,0.02981
2020-10-25,0.05219
2020-10-24,0.05945
2020-10-23,0.06141
2020-10-22,0.0294
2020-10-21,0.03707
2020-10-20,0.03286
2020-10-19,0.03474
2020-10-18,0.02862
2020-10-17,0.02979
2020-10-16,0.03075
2020-10-15,0.03329
2020-10-14,0.02666
2020-10-13,0.02378
2020-10-12,0.03449
2020-10-11,0.03803
2020-10-10,0.0417
2020-10-09,0.03806
2020-10-08,0.03575
2020-10-07,0.02764
2020-10-06,0.01677
2020-10-05,0.03055
2020-10-04,0.04293
2020-10-03,0.02159
2020-10-02,0.0359
2020-10-01,0.03062
2020-09-30,0.032
2020-09-29,0.02162
2020-09-28,0.02955
2020-09-27,0.04071
2020-09-26,0.04197
2020-09-25,0.034
2020-09-24,0.0317
2020-09-23,0.03146
2020-09-22,0.0263
2020-09-21,0.03294
2020-09-20,0.04265
2020-09-19,0.04304
2020-09-18,0.0363
2020-09-17,0.03238
2020-09-16,0.0295
2020-09-15,0.02235
2020-09-14,0.02855
2020-09-13,0.04625
2020-09-12,0.04107
2020-09-11,0.03326
2020-09-10,0.03338
2020-09-09,0.01616
2020-09-08,0.02676
2020-09-07,0.03091
2020-09-06,0.04905
2020-09-05,0.04956
2020-09-04,0.05106
2020-09-03,0.05125
2020-09-02,0.04255
2020-09-01,0.03712
2020-08-31,0.04176
2020-08-30,0.0607
2020-08-29,0.04981
2020-08-28,0.05329
