Date,"Case increase (per 100,000)"
286,84.22677803
285,76.77549987
284,90.43027082
283,89.76967856
282,75.11262971
281,78.08402936
280,58.90154391
279,62.60440395
278,76.11996963
277,63.44722855
276,55.72766388
275,47.0539104
274,52.54112883
273,30.93140977
272,35.52012149
271,39.51910909
270,30.36193369
269,31.97924576
268,37.0539104
267,46.44393824
266,38.79777272
265,21.10098709
264,36.24145786
263,39.08377626
262,32.91571754
261,29.0508732
260,24.83168818
259,22.12857504
258,25.03163756
257,27.76006074
256,24.99367249
255,17.44621615
254,17.53227031
253,18.89141989
252,13.58390281
251,18.25360668
250,19.44317894
249,14.83928119
248,16.49708934
247,11.55656796
246,13.51050367
245,10.23538345
244,10.36193369
243,11.46292078
242,12.87522146
241,10.1594533
240,10.60744115
239,11.42748671
238,8.068843331
237,7.544925335
236,13.2093141
235,15.04682359
234,15.54290053
233,7.441154138
232,9.382434827
231,8.316881802
230,8.792710706
229,7.243735763
228,7.539863326
227,7.782839787
226,8.425715009
225,6.747658821
224,6.018729436
223,8.729435586
222,9.625411288
221,10.55429005
220,9.633004303
219,9.048342192
218,6.995697292
217,4.244495065
216,7.732219691
215,10.86560364
214,5.464439382
213,9.086307264
212,7.749936725
211,8.099215389
210,5.472032397
209,7.47911921
208,10.30372058
207,10.62262718
206,8.60541635
205,8.023285244
204,7.962541129
203,6.656542647
202,8.337129841
201,10.79473551
200,10.8934447
199,9.187547456
198,8.195393571
197,7.466464186
196,5.656795748
195,7.226018729
194,11.70589724
193,10.39483675
192,8.418121994
191,8.448494052
190,4.090103771
189,6.772968869
188,7.823335864
187,12.41457859
186,12.54365983
185,12.92331055
184,12.97139965
183,10.76942546
182,9.395089851
181,10.56947608
180,15.36319919
179,12.60693495
178,13.48772463
177,11.2123513
176,15.19615287
175,11.33890154
174,12.51834978
173,17.15261959
172,16.59326753
171,14.13566186
170,14.98354847
169,15.60111364
168,11.73373829
167,16.37307011
166,19.92660086
165,31.92609466
164,20.08099215
163,17.93216907
162,29.473551
161,31.63756011
160,19.61781827
159,21.19210326
158,18.65603645
157,21.35155657
156,13.30802329
155,13.40167046
154,11.45532777
153,14.5254366
152,22.86003543
151,16.55783346
150,20.46570488
149,25.80865604
148,22.1589471
147,15.18602885
146,17.44115414
145,20.90356872
144,25.47709441
143,24.59630473
142,30.4732979
141,32.41457859
140,23.36370539
139,17.32725892
138,23.61174386
137,23.28271324
136,25.27461402
135,21.62490509
134,28.1599595
133,18.59276133
132,21.15413819
131,21.41230068
130,20.3669957
129,19.7367755
128,17.79549481
127,29.59757024
126,15.41381929
125,14.42419641
124,21.75904834
123,23.16628702
122,14.39635535
121,16.21867882
120,18.74715262
119,23.99392559
118,20.27081751
117,12.17413313
116,15.11516072
115,12.37661352
114,13.53834472
113,18.09415338
112,12.70311314
111,10.70615034
110,11.42748671
109,9.853201721
108,10.92634776
107,10.33662364
106,8.744621615
105,5.335358137
104,6.573019489
103,8.129587446
102,9.263477601
101,6.838774994
100,7.82080486
99,6.838774994
98,5.492280435
97,6.345229056
96,7.076689446
95,7.88407998
94,7.830928879
93,5.365730195
92,6.016198431
91,5.83143508
90,6.132624652
89,9.377372817
88,7.572766388
87,5.540369527
86,6.876740066
85,5.687167806
84,5.504935459
83,4.677296887
82,5.261958998
81,5.535307517
80,5.687167806
79,5.416350291
78,5.725132878
77,3.454821564
76,4.026828651
75,5.178435839
74,4.70007593
73,4.484940521
72,5.120222728
71,4.452037459
70,3.652239939
69,3.186535054
68,5.36319919
67,5.186028853
66,4.803847127
65,4.553277651
64,6.588205518
63,3.227031131
62,3.343457353
61,3.591495824
60,4.44191344
59,3.859782334
58,6.117438623
57,3.718046064
56,3.966084536
55,3.290306252
54,2.599341939
53,4.765882055
52,4.770944065
51,4.993672488
50,5.403695267
49,5.778283979
48,1.632498102
47,3.467476588
46,3.631991901
45,3.406732473
44,4.449506454
43,2.748671222
42,2.505694761
41,1.402176664
40,2.98405467
39,2.892938497
38,2.943558593
37,3.421918502
36,2.763857251
35,3.869906353
34,2.272842318
33,3.57377879
32,3.353581372
31,3.821817261
30,2.622120982
29,1.703366236
28,2.619589977
27,1.870412554
26,2.695520121
25,1.933687674
24,2.209567198
23,1.647684131
22,0.640344217
21,0.933940774
20,0.498607947
19,0.650468236
18,0.546697039
17,0.351809668
16,0.792204505
15,0.323968616
14,0.374588712
13,0.106302202
12,0.103771197
11,0.12655024
10,0
9,0.113895216
8,0.060744115
7,0.048089091
6,0.065806125
5,0.048089091
4,0.022779043
3,0.017717034
2,0
1,0
