Date,"Case increase (per 100,000)"
321,38.84078212
320,40.79143389
319,48.34729981
318,53.11452514
317,51.54096834
316,43.81284916
315,36.31750466
314,35.08845438
313,38.05865922
312,47.47672253
311,46.08007449
310,49.60893855
309,46.04283054
308,39.75791434
307,29.91620112
306,33.19832402
305,28.22160149
304,78.18901304
303,0
302,37.83054004
301,37.71880819
300,28.46368715
299,29.67411546
298,38.05865922
297,41.11266294
296,41.35009311
295,35.97299814
294,33.91527002
293,21.08938547
292,45.716946
291,20.50744879
290,31.47113594
289,25.62383613
288,26.39199255
287,19.93482309
286,17.90037244
285,30.81471136
284,20.39106145
283,23.97579143
282,28.49162011
281,20.16759777
280,21.19646182
279,21.27094972
278,22.36964618
277,10.62849162
276,25.06052142
275,19.13873371
274,18.6452514
273,19.67411546
272,15.53072626
271,10.9310987
270,20.39571695
269,16.84357542
268,25.42364991
267,9.804469274
266,16.55493482
265,7.872439479
264,11.51769088
263,18.47299814
262,15.66573557
261,15.29795158
260,13.0726257
259,12.36964618
258,7.0716946
257,25.20484171
256,0
255,13.28212291
254,15.11173184
253,11.84357542
252,10.24674115
251,6.545623836
250,8.314711359
249,12.81657356
248,12.15083799
247,11.87616387
246,8.752327747
245,14.93947858
244,3.389199255
243,8.598696462
242,12.7141527
241,13.07728119
240,11.53165736
239,12.07635009
238,11.23836127
237,7.779329609
236,11.62476723
235,16.34078212
234,14.79050279
233,15.23743017
232,10.65176909
231,12.77001862
230,7.998137803
229,11.14990689
228,14.74860335
227,16.77839851
226,11.81098696
225,9.338919926
224,8.365921788
223,8.43575419
222,11.69925512
221,16.72718808
220,14.65083799
219,16.23370577
218,10.75418994
217,34.8556797
216,8.733705773
215,11.8575419
214,14.58100559
213,17.37430168
212,15.03258845
211,13.67318436
210,12.40689013
209,10.3538175
208,13.98510242
207,19.83240223
206,21.48975791
205,21.02420857
204,18.99441341
203,17.63035382
202,12.33240223
201,17.44413408
200,29.2877095
199,37.22998138
198,28.98975791
197,37.68621974
196,26.82495345
195,19.32029795
194,28.58007449
193,38.84078212
192,35.10707635
191,35.25605214
190,25.25139665
189,24.93947858
188,22.41154562
187,32.84916201
186,44.23649907
185,41.43389199
184,45.7867784
183,43.38919926
182,42.54189944
181,40.98696462
180,43.04469274
179,56.07541899
178,57.3556797
177,47.07635009
176,44.99068901
175,43.12383613
174,48.44040968
173,57.65828678
172,47.3603352
171,52.02048417
170,64.05493482
169,46.51769088
168,42.75139665
167,56.82960894
166,70.52607076
165,47.83054004
164,52.37430168
163,41.38733706
162,46.30819367
161,33.98044693
160,29.03631285
159,45.88454376
158,52.74674115
157,43.40782123
156,43.95716946
155,30.47020484
154,28.05865922
153,24.96741155
152,38.89199255
151,44.38547486
150,41.03351955
149,23.23556797
148,25.47020484
147,17.68156425
146,12.80726257
145,21.49441341
144,18.63128492
143,15.42364991
142,12.54189944
141,11.29888268
140,12.52793296
139,8.193668529
138,9.930167598
137,11.52700186
136,7.60707635
135,7.770018622
134,5.782122905
133,5.391061453
132,4.790502793
131,6.480446927
130,5.791433892
129,4.743947858
128,5.889199255
127,5.62849162
126,2.802607076
125,3.258845438
124,4.05027933
123,3.500931099
122,5.684357542
121,2.858472998
120,2.211359404
119,2.341713222
118,4.562383613
117,2.537243948
116,3.412476723
115,3.375232775
114,5.540037244
113,2.211359404
112,2.849162011
111,3.044692737
110,5.288640596
109,2.234636872
108,3.659217877
107,3.687150838
106,3.719739292
105,2.82122905
104,1.783054004
103,3.170391061
102,3.561452514
101,1.601489758
100,2.909683426
99,2.704841713
98,2.672253259
97,3.575418994
96,2.942271881
95,3.272811918
94,4.548417132
93,2.39292365
92,1.596834264
91,3.482309125
90,2.416201117
89,3.701117318
88,3.417132216
87,5.651769088
86,3.244878957
85,3.999068901
84,3.472998138
83,3.319366853
82,3.44972067
81,5.041899441
80,5.581936685
79,4.175977654
78,2.756052142
77,4.292364991
76,3.766294227
75,4.953445065
74,5.065176909
73,4.809124767
72,4.869646182
71,4.683426443
70,5.395716946
69,3.552141527
68,5.344506518
67,5.963687151
66,5.903165736
65,4.804469274
64,4.208566108
63,3.966480447
62,4.078212291
61,3.282122905
60,3.067970205
59,2.490689013
58,2.313780261
57,1.317504655
56,0.819366853
55,1.387337058
54,0.945065177
53,0.661080074
52,0.353817505
51,0.460893855
50,0.288640596
49,0.125698324
48,0.144320298
47,0.186219739
46,0.09310987
45,0.023277467
44,0.027932961
43,0.009310987
42,0.023277467
41,0.004655493
40,0.018621974
39,0
38,0.004655493
37,0.018621974
36,0.004655493
35,0.009310987
34,0
33,0
32,0
31,0
30,0
29,0
28,0
27,0
26,0
25,0
24,0
23,0
22,0
21,0
20,0
19,0
18,0
17,0
16,0
15,0
14,0
13,0
12,0
11,0
10,0
9,0
8,0
7,0
6,0
5,0
4,0
3,0
2,0
1,0
