Date,"Case increase (per 100,000)"
283,53.04523629
282,109.4768764
281,100.6570634
280,98.55951478
279,62.16830933
278,58.30174375
277,58.04902704
276,48.09198888
275,81.90548395
274,110.4371999
273,121.9863533
272,43.13874147
271,72.25170584
270,43.89689158
269,55.59767501
268,43.49254486
267,158.1248421
266,81.50113723
265,0
264,94.31387415
263,69.14329037
262,89.5628001
261,86.07530958
260,92.57012889
259,73.81854941
258,73.66691938
257,76.24462977
256,39.19636088
255,68.96638868
254,99.1407632
253,71.94844579
252,67.39954511
251,59.56532727
250,55.01642659
249,43.01238312
248,55.52185999
247,113.8994188
246,0
245,47.46019712
244,53.09577963
243,31.48850139
242,33.63659338
241,27.39449078
240,34.09148345
239,32.01920647
238,32.90371494
237,26.30780895
236,18.77685115
235,25.52438716
234,16.75511751
233,26.56052565
232,46.22188527
231,34.69800354
230,41.1422795
229,33.03007329
228,37.27571392
227,19.56027293
226,20.11624968
225,30.1996462
224,37.19989891
223,30.85670963
222,28.35481425
221,33.08061663
220,20.14152135
219,19.35809957
218,38.74147081
217,38.51402578
216,30.62926459
215,25.42330048
214,34.4705585
213,16.80566085
212,14.37958049
211,30.04801617
210,30.07328784
209,29.56785444
208,24.76623705
207,25.90346222
206,42.55749305
205,0
204,25.01895375
203,32.2466515
202,27.36921911
201,27.52084913
200,29.41622441
199,27.82410917
198,25.34748547
197,31.26105636
196,31.5643164
195,26.13090725
194,24.51352034
193,27.57139247
192,21.96108163
191,17.56381097
190,25.70128886
189,23.80591357
188,19.48445792
187,22.13798332
186,21.05130149
185,15.49153399
184,10.61410159
183,28.98660601
182,25.60020217
181,22.97194845
180,18.17033106
179,16.83093252
178,18.01870104
177,16.8562042
176,27.62193581
175,17.94288602
174,17.99342937
173,16.83093252
172,16.4265858
171,9.021986353
170,14.30376548
169,21.5567349
168,27.21758908
167,18.85266616
166,15.08718726
165,15.54207733
164,9.325246399
163,13.74778873
162,22.76977508
161,20.06570634
160,17.81652767
159,16.93201921
158,19.3328279
157,10.03285317
156,12.28203184
155,20.84912813
154,21.58200657
153,21.15238817
152,27.82410917
151,21.75890826
150,9.527419762
149,12.48420521
148,31.43795805
147,18.87793783
146,28.2284559
145,21.43037655
144,27.52084913
143,35.40561031
142,30.42709123
141,24.38716199
140,28.98660601
139,16.88147587
138,24.6398787
137,22.56760172
136,4.245640637
135,5.281779126
134,23.14885014
133,17.66489765
132,15.87060905
131,27.16704574
130,25.09476876
129,12.88855193
128,11.52388173
127,17.3616376
126,15.06191559
125,15.23881729
124,17.00783422
123,21.68309325
122,10.96790498
121,7.151882739
120,14.65756887
119,13.29289866
118,10.79100329
117,8.971443012
116,14.78392722
115,5.761940864
114,7.632044478
113,7.556229467
112,9.982309831
111,11.06899166
110,12.18094516
109,7.455142785
108,5.50922416
107,12.07985848
106,8.364922921
105,8.895628001
104,11.37225171
103,6.545362648
102,5.761940864
101,4.700530705
100,3.992923932
99,5.686125853
98,5.610310842
97,3.689663887
96,2.956785444
95,3.992923932
94,1.389941875
93,3.714935557
92,2.426080364
91,0
90,2.577710387
89,2.855698762
88,3.007328784
87,1.693201921
86,2.223907
85,2.021733637
84,1.718473591
83,1.036138489
82,2.324993682
81,1.187768511
80,1.339398534
79,1.945918625
78,2.805155421
77,4.270912307
76,3.740207228
75,1.08668183
74,2.299722012
73,2.223907
72,1.844831943
71,3.816022239
70,3.133687137
69,2.77988375
68,3.032600455
67,3.007328784
66,0.606520091
65,2.501895375
64,1.66793025
63,2.375537023
62,3.260045489
61,1.870103614
60,2.097548648
59,1.819560273
58,3.057872125
57,2.602982057
56,3.285317159
55,3.664392216
54,1.592115239
53,3.285317159
52,0.682335102
51,1.516300227
50,1.819560273
49,2.628253728
48,3.108415466
47,2.19863533
46,3.209502148
45,2.047005307
44,0.732878443
43,2.653525398
42,2.729340409
41,2.375537023
40,1.996461966
39,2.906242103
38,2.501895375
37,2.577710387
36,1.870103614
35,2.77988375
34,4.043467273
33,1.314126864
32,3.664392216
31,1.895375284
30,2.350265353
29,4.321455648
28,2.75461208
27,4.043467273
26,3.89183725
25,2.122820318
24,1.314126864
23,1.314126864
22,1.389941875
21,1.870103614
20,2.122820318
19,1.465756887
18,0.631791761
17,0.353803386
16,0.353803386
15,0.101086682
14,0.126358352
13,0.379075057
12,0.303260045
11,0.176901693
10,0.02527167
9,0.126358352
8,0.02527167
7,0
6,0.02527167
5,0
4,0.02527167
3,0
2,0
1,0
