Date,"Case increase (per 100,000)"
287,30.69310345
286,28.78965517
285,56.4137931
284,49.83103448
283,52.75517241
282,46.91724138
281,68.42068966
280,32.72758621
279,35.79310345
278,49.62413793
277,57.91724138
276,60.52413793
275,66.28275862
274,63.93103448
273,40.43103448
272,24.31034483
271,14.9137931
270,13.74827586
269,50.67931034
268,64.86551724
267,57.17241379
266,26.34827586
265,33.6862069
264,51.45517241
263,47.56896552
262,49.20344828
261,37.8862069
260,47.04827586
259,26.99310345
258,27.32068966
257,39.3137931
256,46.28965517
255,36.5137931
254,45.4
253,44.60344828
252,16.72068966
251,23.71724138
250,32.96551724
249,31.85862069
248,35.07241379
247,33.85172414
246,36.77586207
245,18.81034483
244,247.3586207
243,24.63793103
242,22.86551724
241,23.53793103
240,19.40344828
239,25.14482759
238,16.20689655
237,14.84137931
236,22.41034483
235,22.31724138
234,21.69310345
233,18.11034483
232,27.1862069
231,6.531034483
230,11.08965517
229,16.84482759
228,20.24137931
227,16.29655172
226,16.64137931
225,17.68965517
224,9.131034483
223,8.337931034
222,14.5862069
221,13.91724138
220,14.6137931
219,14.21034483
218,14.24827586
217,11.75517241
216,9.944827586
215,24.15862069
214,12.07931034
213,12.1862069
212,19.59655172
211,14.00689655
210,14.10344828
209,5.84137931
208,16.84827586
207,15.97586207
206,14.89655172
205,11.69655172
204,61.44827586
203,33.97586207
202,8.503448276
201,13.19655172
200,11.8
199,13.95517241
198,20.77931034
197,18.42068966
196,13.68965517
195,6.362068966
194,14.59655172
193,12.23103448
192,13.85517241
191,13.79310345
190,4.9
189,7.103448276
188,10.32758621
187,15.46896552
186,18.90344828
185,12.68965517
184,14.94482759
183,15.04827586
182,9.017241379
181,13.1862069
180,16.42068966
179,13.9
178,19.31034483
177,18.64482759
176,21.88275862
175,9.817241379
174,15.16551724
173,19.16896552
172,17.3137931
171,18.2862069
170,24.22068966
169,25.11034483
168,27.26896552
167,21.39310345
166,28.43103448
165,24.2
164,23.29310345
163,21.37931034
162,33.80344828
161,15.36206897
160,16.82413793
159,23.99655172
158,24.27241379
157,26.2
156,30.02068966
155,31.61034483
154,18.2862069
153,21.46896552
152,32.89310345
151,30.47931034
150,30.34482759
149,31.17931034
148,28.76551724
147,14.7137931
146,20.03448276
145,20.75862069
144,30.00344828
143,32.78275862
142,34.06551724
141,32.0862069
140,25.53103448
139,25.17241379
138,35.02758621
137,51.43448276
136,35.4862069
135,37.21034483
134,25.03793103
133,19.5
132,28.26206897
131,35.69310345
130,33.67241379
129,33.73103448
128,34.41034483
127,34.57931034
126,18.33793103
125,11.89310345
124,28.47586207
123,26.05172414
122,27.29310345
121,27.84827586
120,24.05172414
119,14.7862069
118,18.47241379
117,19.8
116,19.67931034
115,20.67586207
114,19.14137931
113,18.92758621
112,11.31034483
111,13.33103448
110,15.27586207
109,11.91034483
108,12.12413793
107,10.78965517
106,14.13103448
105,4.324137931
104,6.355172414
103,8.037931034
102,7.231034483
101,6.296551724
100,8.634482759
99,5.644827586
98,2.2
97,4.913793103
96,6.689655172
95,5.837931034
94,5.686206897
93,5.872413793
92,5.820689655
91,2.044827586
90,6.720689655
89,4.593103448
88,4.24137931
87,6.396551724
86,4.693103448
85,2.031034483
84,2.148275862
83,2.893103448
82,3.655172414
81,4.072413793
80,3.25862069
79,4.865517241
78,4.203448276
77,3.134482759
76,2.706896552
75,6.210344828
74,4.644827586
73,4.993103448
72,4.672413793
71,4.065517241
70,3.448275862
69,3.479310345
68,4.313793103
67,4.203448276
66,3.337931034
65,3.631034483
64,3.575862069
63,2.703448276
62,3.537931034
61,4.45862069
60,3.937931034
59,3.562068966
58,3.044827586
57,3.013793103
56,2.296551724
55,2.95862069
54,3.334482759
53,2.972413793
52,3.017241379
51,3.010344828
50,2.544827586
49,1.844827586
48,2.286206897
47,3.065517241
46,3.15862069
45,3.320689655
44,2.993103448
43,2.475862069
42,1.455172414
41,3.182758621
40,3.068965517
39,4.968965517
38,3.024137931
37,3.765517241
36,3.406896552
35,1.655172414
34,2.348275862
33,2.717241379
32,2.272413793
31,2.306896552
30,2.517241379
29,1.351724138
28,1.110344828
27,1.737931034
26,1.093103448
25,1.162068966
24,1.444827586
23,0.906896552
22,1.465517241
21,0.082758621
20,0.096551724
19,0.206896552
18,0.231034483
17,0.089655172
16,0.065517241
15,0.024137931
14,0
13,0.117241379
12,0
11,0
10,0.013793103
9,0.010344828
8,0.010344828
7,0.024137931
6,0
5,0
4,0.017241379
3,0
2,0
1,0
