Date,"Case increase (per 100,000)"
2020-12-14,0.08343
2020-12-13,0.08762
2020-12-12,0.10385
2020-12-11,0.11409
2020-12-10,0.11071
2020-12-09,0.09411
2020-12-08,0.07801
2020-12-07,0.07537
2020-12-06,0.08175
2020-12-05,0.10198
2020-12-04,0.09898
2020-12-03,0.10656
2020-12-02,0.0989
2020-12-01,0.0854
2020-11-30,0.06426
2020-11-29,0.07131
2020-11-28,0.06062
2020-11-27,0.16795
2020-11-26,0.0
2020-11-25,0.08126
2020-11-24,0.08102
2020-11-23,0.06114
2020-11-22,0.06374
2020-11-21,0.08175
2020-11-20,0.08831
2020-11-19,0.08882
2020-11-18,0.07727
2020-11-17,0.07285
2020-11-16,0.0453
2020-11-15,0.0982
2020-11-14,0.04405
2020-11-13,0.0676
2020-11-12,0.05504
2020-11-11,0.05669
2020-11-10,0.04282
2020-11-09,0.03845
2020-11-08,0.06619
2020-11-07,0.0438
2020-11-06,0.0515
2020-11-05,0.0612
2020-11-04,0.04332
2020-11-03,0.04553
2020-11-02,0.04569
2020-11-01,0.04805
2020-10-31,0.02283
2020-10-30,0.05383
2020-10-29,0.04111
2020-10-28,0.04005
2020-10-27,0.04226
2020-10-26,0.03336
2020-10-25,0.02348
2020-10-24,0.04381
2020-10-23,0.03618
2020-10-22,0.05461
2020-10-21,0.02106
2020-10-20,0.03556
2020-10-19,0.01691
2020-10-18,0.02474
2020-10-17,0.03968
2020-10-16,0.03365
2020-10-15,0.03286
2020-10-14,0.02808
2020-10-13,0.02657
2020-10-12,0.01519
2020-10-11,0.05414
2020-10-10,0.0
2020-10-09,0.02853
2020-10-08,0.03246
2020-10-07,0.02544
2020-10-06,0.02201
2020-10-05,0.01406
2020-10-04,0.01786
2020-10-03,0.02753
2020-10-02,0.0261
2020-10-01,0.02551
2020-09-30,0.0188
2020-09-29,0.03209
2020-09-28,0.00728
2020-09-27,0.01847
2020-09-26,0.02731
2020-09-25,0.02809
2020-09-24,0.02477
2020-09-23,0.02594
2020-09-22,0.02414
2020-09-21,0.01671
2020-09-20,0.02497
2020-09-19,0.0351
2020-09-18,0.03177
2020-09-17,0.03273
2020-09-16,0.02288
2020-09-15,0.02743
2020-09-14,0.01718
2020-09-13,0.02395
2020-09-12,0.03168
2020-09-11,0.03604
2020-09-10,0.02537
2020-09-09,0.02006
2020-09-08,0.01797
2020-09-07,0.01812
2020-09-06,0.02513
2020-09-05,0.03593
2020-09-04,0.03147
2020-09-03,0.03487
2020-09-02,0.0231
2020-09-01,0.07487
2020-08-31,0.01876
2020-08-30,0.02547
2020-08-29,0.03132
2020-08-28,0.03732
2020-08-27,0.03229
2020-08-26,0.02937
2020-08-25,0.02665
2020-08-24,0.02224
2020-08-23,0.03004
2020-08-22,0.0426
2020-08-21,0.04616
2020-08-20,0.04516
2020-08-19,0.0408
2020-08-18,0.03787
2020-08-17,0.02649
2020-08-16,0.03747
2020-08-15,0.06291
2020-08-14,0.07997
2020-08-13,0.06227
2020-08-12,0.08095
2020-08-11,0.05762
2020-08-10,0.0415
2020-08-09,0.06139
2020-08-08,0.08343
2020-08-07,0.07541
2020-08-06,0.07573
2020-08-05,0.05424
2020-08-04,0.05357
2020-08-03,0.04814
2020-08-02,0.07056
2020-08-01,0.09502
2020-07-31,0.089
2020-07-30,0.09835
2020-07-29,0.0932
2020-07-28,0.09138
2020-07-27,0.08804
2020-07-26,0.09246
2020-07-25,0.12045
2020-07-24,0.1232
2020-07-23,0.10112
2020-07-22,0.09664
2020-07-21,0.09263
2020-07-20,0.10405
2020-07-19,0.12385
2020-07-18,0.10173
2020-07-17,0.11174
2020-07-16,0.13759
2020-07-15,0.09992
2020-07-14,0.09183
2020-07-13,0.12207
2020-07-12,0.15149
2020-07-11,0.10274
2020-07-10,0.1125
2020-07-09,0.0889
2020-07-08,0.09947
2020-07-07,0.07299
2020-07-06,0.06237
2020-07-05,0.09856
2020-07-04,0.1133
2020-07-03,0.09324
2020-07-02,0.09442
2020-07-01,0.06545
2020-06-30,0.06027
2020-06-29,0.05363
2020-06-28,0.08354
2020-06-27,0.09534
2020-06-26,0.08814
2020-06-25,0.04991
