Date,"Case increase (per 100,000)"
2020-12-14,0.09044
2020-12-13,0.10194
2020-12-12,0.11129
2020-12-11,0.10595
2020-12-10,0.10178
2020-12-09,0.106
2020-12-08,0.09335
2020-12-07,0.07302
2020-12-06,0.09702
2020-12-05,0.10761
2020-12-04,0.11271
2020-12-03,0.09855
2020-12-02,0.08973
2020-12-01,0.07285
2020-11-30,0.06819
2020-11-29,0.06723
2020-11-28,0.06063
2020-11-27,0.08176
2020-11-26,0.06933
2020-11-25,0.06265
2020-11-24,0.04881
2020-11-23,0.05906
2020-11-22,0.05392
2020-11-21,0.05972
2020-11-20,0.05468
2020-11-19,0.0531
2020-11-18,0.05294
2020-11-17,0.05088
2020-11-16,0.0349
2020-11-15,0.03649
2020-11-14,0.05388
2020-11-13,0.05401
2020-11-12,0.04797
2020-11-11,0.0482
2020-11-10,0.03965
2020-11-09,0.03144
2020-11-08,0.03428
2020-11-07,0.03587
2020-11-06,0.03209
2020-11-05,0.02997
2020-11-04,0.02126
2020-11-03,0.02321
2020-11-02,0.01633
2020-11-01,0.02255
2020-10-31,0.02049
2020-10-30,0.02255
2020-10-29,0.02499
2020-10-28,0.02031
2020-10-27,0.01991
2020-10-26,0.01191
2020-10-25,0.01632
2020-10-24,0.02061
2020-10-23,0.01637
2020-10-22,0.01628
2020-10-21,0.02026
2020-10-20,0.01201
2020-10-19,0.00998
2020-10-18,0.0139
2020-10-17,0.01784
2020-10-16,0.01707
2020-10-15,0.0146
2020-10-14,0.01232
2020-10-13,0.01393
2020-10-12,0.01029
2020-10-11,0.01143
2020-10-10,0.01447
2020-10-09,0.01592
2020-10-08,0.01836
2020-10-07,0.0136
2020-10-06,0.01393
2020-10-05,0.00933
2020-10-04,0.01222
2020-10-03,0.01731
2020-10-02,0.01598
2020-10-01,0.01382
2020-09-30,0.01
2020-09-29,0.01189
2020-09-28,0.00834
2020-09-27,0.00866
2020-09-26,0.01005
2020-09-25,0.00908
2020-09-24,0.00955
2020-09-23,0.00665
2020-09-22,0.00754
2020-09-21,0.00573
2020-09-20,0.00862
2020-09-19,0.00986
2020-09-18,0.0079
2020-09-17,0.00896
2020-09-16,0.00652
2020-09-15,0.00766
2020-09-14,0.00583
2020-09-13,0.00725
2020-09-12,0.00849
2020-09-11,0.0088
2020-09-10,0.00757
2020-09-09,0.00576
2020-09-08,0.00557
2020-09-07,0.0052
2020-09-06,0.00729
2020-09-05,0.00801
2020-09-04,0.00864
2020-09-03,0.00889
2020-09-02,0.00708
2020-09-01,0.00754
2020-08-31,0.00656
2020-08-30,0.00698
2020-08-29,0.00635
2020-08-28,0.00636
2020-08-27,0.00791
2020-08-26,0.00566
2020-08-25,0.00629
2020-08-24,0.00408
2020-08-23,0.00572
2020-08-22,0.00653
2020-08-21,0.00709
2020-08-20,0.00601
2020-08-19,0.00631
2020-08-18,0.00655
2020-08-17,0.00408
2020-08-16,0.00607
2020-08-15,0.00734
2020-08-14,0.00727
2020-08-13,0.00737
2020-08-12,0.007
2020-08-11,0.00667
2020-08-10,0.00476
2020-08-09,0.00515
2020-08-08,0.00703
2020-08-07,0.00714
2020-08-06,0.00703
2020-08-05,0.00636
2020-08-04,0.00746
2020-08-03,0.00545
2020-08-02,0.00531
2020-08-01,0.00753
2020-07-31,0.00644
2020-07-30,0.00777
2020-07-29,0.00715
2020-07-28,0.00534
2020-07-27,0.00608
2020-07-26,0.00536
2020-07-25,0.0075
2020-07-24,0.00753
2020-07-23,0.00811
2020-07-22,0.00705
2020-07-21,0.00855
2020-07-20,0.00519
2020-07-19,0.00502
2020-07-18,0.00754
2020-07-17,0.00776
2020-07-16,0.00769
2020-07-15,0.00831
2020-07-14,0.00912
2020-07-13,0.00557
2020-07-12,0.00677
2020-07-11,0.0073
2020-07-10,0.00786
2020-07-09,0.00584
2020-07-08,0.00692
2020-07-07,0.00588
2020-07-06,0.00518
2020-07-05,0.00533
2020-07-04,0.00726
2020-07-03,0.00918
2020-07-02,0.00875
2020-07-01,0.00625
2020-06-30,0.00524
2020-06-29,0.00391
2020-06-28,0.00616
2020-06-27,0.00703
