Date,"Case increase (per 100,000)"
2020-12-14,0.08901
2020-12-13,0.08349
2020-12-12,0.1636
2020-12-11,0.14451
2020-12-10,0.15299
2020-12-09,0.13606
2020-12-08,0.19842
2020-12-07,0.09491
2020-12-06,0.1038
2020-12-05,0.14391
2020-12-04,0.16796
2020-12-03,0.17552
2020-12-02,0.19222
2020-12-01,0.1854
2020-11-30,0.11725
2020-11-29,0.0705
2020-11-28,0.04325
2020-11-27,0.03987
2020-11-26,0.14697
2020-11-25,0.18811
2020-11-24,0.1658
2020-11-23,0.07641
2020-11-22,0.09769
2020-11-21,0.14922
2020-11-20,0.13795
2020-11-19,0.14269
2020-11-18,0.10987
2020-11-17,0.13644
2020-11-16,0.07828
2020-11-15,0.07923
2020-11-14,0.11401
2020-11-13,0.13424
2020-11-12,0.10589
2020-11-11,0.13166
2020-11-10,0.12935
2020-11-09,0.04849
2020-11-08,0.06878
2020-11-07,0.0956
2020-11-06,0.09239
2020-11-05,0.10171
2020-11-04,0.09817
2020-11-03,0.10665
2020-11-02,0.05455
2020-11-01,0.71734
2020-10-31,0.07145
2020-10-30,0.06631
2020-10-29,0.06826
2020-10-28,0.05627
2020-10-27,0.07292
2020-10-26,0.047
2020-10-25,0.04304
2020-10-24,0.06499
2020-10-23,0.06472
2020-10-22,0.06291
2020-10-21,0.05252
2020-10-20,0.07884
2020-10-19,0.01894
2020-10-18,0.03216
2020-10-17,0.04885
2020-10-16,0.0587
2020-10-15,0.04726
2020-10-14,0.04826
2020-10-13,0.0513
2020-10-12,0.02648
2020-10-11,0.02418
2020-10-10,0.0423
2020-10-09,0.04036
2020-10-08,0.04238
2020-10-07,0.04121
2020-10-06,0.04132
2020-10-05,0.03409
2020-10-04,0.02884
2020-10-03,0.07006
2020-10-02,0.03503
2020-10-01,0.03534
2020-09-30,0.05683
2020-09-29,0.04062
2020-09-28,0.0409
2020-09-27,0.01694
2020-09-26,0.04886
2020-09-25,0.04633
2020-09-24,0.0432
2020-09-23,0.03392
2020-09-22,0.1782
2020-09-21,0.09853
2020-09-20,0.02466
2020-09-19,0.03827
2020-09-18,0.03422
2020-09-17,0.04047
2020-09-16,0.06026
2020-09-15,0.05342
2020-09-14,0.0397
2020-09-13,0.01845
2020-09-12,0.04233
2020-09-11,0.03547
2020-09-10,0.04018
2020-09-09,0.04
2020-09-08,0.01421
2020-09-07,0.0206
2020-09-06,0.02995
2020-09-05,0.04486
2020-09-04,0.05482
2020-09-03,0.0368
2020-09-02,0.04334
2020-09-01,0.04364
2020-08-31,0.02615
2020-08-30,0.03824
2020-08-29,0.04762
2020-08-28,0.04031
2020-08-27,0.056
2020-08-26,0.05407
2020-08-25,0.06346
2020-08-24,0.02847
2020-08-23,0.04398
2020-08-22,0.05559
2020-08-21,0.05021
2020-08-20,0.05303
2020-08-19,0.07024
2020-08-18,0.07282
2020-08-17,0.07908
2020-08-16,0.06204
2020-08-15,0.08245
2020-08-14,0.07018
2020-08-13,0.06755
2020-08-12,0.062
2020-08-11,0.09803
2020-08-10,0.04455
2020-08-09,0.04879
2020-08-08,0.06959
2020-08-07,0.07039
2020-08-06,0.07598
2020-08-05,0.08706
2020-08-04,0.09167
2020-08-03,0.05303
2020-08-02,0.06226
2020-08-01,0.09539
2020-07-31,0.08839
2020-07-30,0.088
2020-07-29,0.09042
2020-07-28,0.08342
2020-07-27,0.04267
2020-07-26,0.0581
2020-07-25,0.0602
2020-07-24,0.08701
2020-07-23,0.09507
2020-07-22,0.09879
2020-07-21,0.09305
2020-07-20,0.07404
2020-07-19,0.073
2020-07-18,0.10158
2020-07-17,0.14916
2020-07-16,0.10291
2020-07-15,0.10791
2020-07-14,0.07261
2020-07-13,0.05655
2020-07-12,0.08196
2020-07-11,0.10351
2020-07-10,0.09765
2020-07-09,0.09782
2020-07-08,0.09979
2020-07-07,0.10028
2020-07-06,0.05318
2020-07-05,0.03449
2020-07-04,0.08258
2020-07-03,0.07555
2020-07-02,0.07915
2020-07-01,0.08076
2020-06-30,0.06975
2020-06-29,0.04288
2020-06-28,0.05357
2020-06-27,0.05742
2020-06-26,0.05707
2020-06-25,0.05996
2020-06-24,0.05551
2020-06-23,0.05489
2020-06-22,0.0328
2020-06-21,0.03866
2020-06-20,0.0443
2020-06-19,0.03454
2020-06-18,0.03516
2020-06-17,0.03129
2020-06-16,0.04098
2020-06-15,0.01254
2020-06-14,0.01843
2020-06-13,0.02331
2020-06-12,0.02097
2020-06-11,0.01826
2020-06-10,0.02504
2020-06-09,0.01637
2020-06-08,0.00638
2020-06-07,0.01425
2020-06-06,0.0194
2020-06-05,0.01693
2020-06-04,0.01649
2020-06-03,0.01703
2020-06-02,0.01688
2020-06-01,0.00593
2020-05-31,0.01949
2020-05-30,0.01332
2020-05-29,0.0123
2020-05-28,0.01855
2020-05-27,0.01361
2020-05-26,0.00589
2020-05-25,0.00623
2020-05-24,0.00839
2020-05-23,0.0106
2020-05-22,0.01181
2020-05-21,0.00945
2020-05-20,0.01411
2020-05-19,0.01219
2020-05-18,0.00909
2020-05-17,0.00785
2020-05-16,0.01801
2020-05-15,0.01347
2020-05-14,0.01448
2020-05-13,0.01355
2020-05-12,0.01179
2020-05-11,0.01
2020-05-10,0.01009
2020-05-09,0.01251
2020-05-08,0.01219
2020-05-07,0.00968
2020-05-06,0.01053
2020-05-05,0.01037
2020-05-04,0.00784
2020-05-03,0.01026
2020-05-02,0.01293
2020-05-01,0.01142
2020-04-30,0.01033
2020-04-29,0.00883
2020-04-28,0.00874
2020-04-27,0.00666
2020-04-26,0.00858
2020-04-25,0.00967
2020-04-24,0.00862
2020-04-23,0.00875
2020-04-22,0.00873
2020-04-21,0.00738
2020-04-20,0.00535
2020-04-19,0.00663
2020-04-18,0.00889
2020-04-17,0.00916
2020-04-16,0.00963
2020-04-15,0.00868
2020-04-14,0.00718
2020-04-13,0.00422
2020-04-12,0.00923
2020-04-11,0.0089
2020-04-10,0.01441
2020-04-09,0.00877
2020-04-08,0.01092
2020-04-07,0.00988
2020-04-06,0.0048
2020-04-05,0.00681
2020-04-04,0.00788
2020-04-03,0.00659
2020-04-02,0.00669
2020-04-01,0.0073
2020-03-31,0.00392
2020-03-30,0.00322
2020-03-29,0.00504
2020-03-28,0.00317
2020-03-27,0.00337
2020-03-26,0.00419
2020-03-25,0.00263
2020-03-24,0.00425
2020-03-23,0.00024
2020-03-22,0.00028
2020-03-21,0.0006
2020-03-20,0.00067
2020-03-19,0.00026
2020-03-18,0.00019
2020-03-17,7e-05
2020-03-16,0.0
2020-03-15,0.00034
2020-03-14,0.0
2020-03-13,0.0
2020-03-12,4e-05
2020-03-11,3e-05
2020-03-10,3e-05
2020-03-09,7e-05
2020-03-08,0.0
2020-03-07,0.0
2020-03-06,5e-05
2020-03-05,0.0
2020-03-04,0.0
2020-03-03,0.0
